Nombre,Anio,Tipo,Campeon,Pais,Pais_Equipo,Equipo
Agivu,1999,lectus,Norway,Philippines,South Africa,nisi
InnoZ,2010,duis,Palestinian Territory,United States,Russia,quis
Voonder,2002,lacus,Chad,Iran,Philippines,in
Janyx,1998,mauris,China,Russia,Colombia,posuere
Tekfly,2003,quam,China,Indonesia,China,bibendum
Jaxspan,1998,elit,Benin,Portugal,Indonesia,consequat
Demimbu,1994,ornare,France,China,Russia,dui
Plambee,2000,in,Guatemala,Russia,Greece,et
Avamm,1998,augue,Namibia,Philippines,China,erat
Kare,2010,vestibulum,China,Albania,Russia,sollicitudin
Meembee,2003,gravida,Serbia,South Africa,Belarus,donec
Mita,2008,nibh,Russia,Indonesia,Indonesia,porttitor
Meemm,2005,etiam,United Kingdom,Mongolia,Philippines,curabitur
Skiba,2004,faucibus,Greenland,Ireland,Indonesia,integer
Twitterworks,2001,turpis,Poland,Morocco,China,odio
Wordtune,1996,sollicitudin,China,Netherlands,China,natoque
Youspan,1998,vestibulum,France,China,Czech Republic,in
Skidoo,2002,mus,China,Thailand,China,dictumst
Shuffledrive,2007,turpis,Nigeria,Ukraine,Japan,lacus
Eabox,2002,erat,China,Russia,China,eget
Skinix,2003,vel,France,China,Philippines,orci
Youspan,2004,ullamcorper,Brazil,Saudi Arabia,Ukraine,lacus
Brainbox,2000,nulla,Uruguay,China,Vietnam,risus
Skinte,2012,pede,China,France,France,urna
Jabberstorm,2008,in,Indonesia,China,Thailand,commodo
Yakitri,2009,molestie,Bulgaria,Maldives,Philippines,etiam
